12150	7501	22859	12168	18932	2760	4118	22872	3663	59745
12215	699	2238	91	2789	4790	23	68	474	1436
12251	860	895	1674	2529	5187	1612	3326	2160	801
12274	12268	12263	1765	2408	12264	14492	18832	34244	4886
33	26	761	605	265	31	758	6	568	738
272	1666	7839	7402	634	1564	705	795	3936	5457
3615	1895	3431	14818	3420	469	2631	1893	448	1260
239	12	449	1142	246	1666	577	22	233	2747
889	761	26	17	295	55	9185	33	754	30
8797	2121	699	3215	3862	1277	5740	7402	8347	5207
3524	12435	12497	12524	12530	12440	12439	12437	12438	2146
8352	347	1066	1564	5608	2290	3218	170	374	634
6826	2975	3266	435	3112	9438	19115	719	466	12680
4127	664	19799	48813	663	3996	4077	1660	10815	2196
34906	15392	15212	7322	579	2979	15394	3345	1282	22240
708	583	9297	5602	567	8672	6	604	9339	581
1210	35827	12817	33917	8734	1856	12025	1212	8701	20771
12870	619	12322	35494	31105	618	3344	6228	748	23253
12913	54374	12903	12902	33098	12910	12908	39278	12912	39279
448	469	1260	438	1201	3630	3431	14790	3420	3419
12951	54509	50747	56812	15079	54510	12959	12957	23178	12950
33631	13009	6023	9801	7811	35659	2993	15729	34613	3355
973	10	450	68	974	1209	39	283	365	363
13038	13067	58907	52036	13050	13064	396	401	53278	11614
1900	1901	22404	1065	860	13149	1903	3326	1674	801
13204	29630	34264	54523	32298	34706	40889	18126	32327	40996
13258	13261	13264	13266	13263	13229	13249	13254	5050	13250
1268	647	984	249	7023	430	39	9034	357	3970
13312	34387	33480	7594	2994	9970	13311	34389	60709	8072
13384	13387	6849	3534	3484	44556	18313	3483	3399	30234
1579	33593	19324	13453	13466	27298	1534	25563	33597	1529
13508	22193	46551	38756	13627	60885	40209	30282	55833	58822
13560	13558	13559	28121	43754	11824	45061	26049	2397	36322
12	1142	233	246	22	1269	239	1666	3	1296
13659	20437	13869	21520	17971	21309	17976	21530	40721	21657
974	3947	17653	1209	363	2959	430	283	8076	488
13746	3630	469	448	2631	13791	9490	3388	438	3779
174	44761	813	155	196	2838	1269	4188	16881	3344
13957	48082	49775	36597	13965	5841	38736	13940	59611	13939
557	12	246	1142	3668	577	1666	233	288	239
3706	24	1548	295	4799	26	30	3215	240	1301
14064	33365	33360	28741	20222	14063	7980	7978	7952	58000
750	5431	9421	7101	7054	7105	20171	7089	3158	3166
28	26	17	758	265	33	29	55	298	31
14159	2497	4823	4820	4817	4852	3350	18002	931	2281
17	33	761	605	265	31	758	6	568	738
14267	14270	548	28227	4329	23966	13766	249	5405	514
14298	11622	46475	14304	53652	10179	14310	2788	51106	51257
14349	14348	43758	30139	2526	14023	58590	33725	60352	58837
1412	283	442	68	3	4448	3923	430	974	605
37158	3341	32782	17470	5218	23073	2267	98	37159	14390
449	1142	1666	246	577	22	555	2747	233	1195
146	2993	147	12864	3907	3207	798	6023	2632	3898
984	776	4253	647	454	9034	1268	7023	9892	53516
711	758	761	732	4645	31	605	298	33	234
2943	13766	1205	984	5254	647	776	53568	38637	1208
14587	14584	14585	14593	14606	14592	14601	14591	14603	14602
14646	21458	30443	3663	1448	16809	24305	18199	15518	25314
14738	8884	3990	4769	255	3215	17871	5207	1284	3735
14776	7975	29397	37199	53069	15891	7977	50853	59430	4662
435	2975	3390	719	9442	2146	2917	457	69	601
3511	5443	5656	11366	2751	4742	1172	531	17150	69
984	776	1205	250	1268	647	454	5254	2943	4645
14889	14878	28264	14874	25595	10406	433	4192	10551	33926
4015	1436	699	2017	1021	3076	1452	1396	3988	2196
14973	46903	2223	18898	61761	28482	54579	47068	40953	55772
14989	14988	15002	15001	25999	3939	47248	30006	34219	54581
7841	68	3	3955	732	283	6	761	605	39
2027	2350	1330	966	2827	1383	16943	745	15523	14213
15095	13845	15085	13698	13844	15096	16477	7796	3887	15097
8440	22457	10056	24461	23080	10815	10828	14571	664	30323
15179	29533	19281	26588	9707	51084	51158	15611	60885	54052
15206	15205	577	11358	44411	37770	3345	579	8058	29126
374	643	246	2325	2290	3668	574	16	10	3125
4645	20341	758	265	605	4448	501	26	732	33
15341	8431	61436	34666	25195	44312	25309	29905	17439	25174
583	5602	6	708	9297	9339	582	581	567	506
26	17	33	568	265	761	30	55	295	29
22240	7950	7952	15325	22	15397	16751	11	15392	2697
9704	5998	953	5532	24918	1307	28	3955	35	703
15518	15564	18176	44468	11332	30443	57600	5899	12396	14676
15636	38286	8506	6903	51690	4656	15637	61246	18887	7871
